# Full, machine-readable Table 2 from Stahl et al. 2019
# Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2007fs  54357.26  18.679   0.080  17.746   0.054  17.547   0.061  17.686   0.127  99.999  99.999    kait4
 2007fs  54358.01  18.668   0.046  17.781   0.033  17.553   0.045  17.641   0.085  99.999  99.999  nickel1
 2007fs  54360.22  18.744   0.118  17.761   0.098  17.662   0.166  17.851   0.186  99.999  99.999    kait4
 2007fs  54363.92  18.639   0.124  17.586   0.205  17.732   0.089  17.850   0.106  99.999  99.999  nickel1
 2007fs  54364.23  18.763   0.199  17.900   0.119  17.754   0.214  18.026   0.206  99.999  99.999    kait4
 2007fs  54370.28  18.821   0.283  18.045   0.145  18.053   0.142  18.385   0.254  99.999  99.999    kait4
 2007fs  54373.23  18.941   0.204  18.193   0.099  18.062   0.114  18.375   0.235  99.999  99.999    kait4
 2007fs  54376.18  18.998   0.154  18.222   0.075  18.192   0.108  18.417   0.232  99.999  99.999    kait4
 2007fs  54379.17  19.009   0.403  18.145   0.151  18.348   0.162  18.705   0.217  99.999  99.999    kait4
 2007fs  54380.01  18.931   0.073  18.275   0.070  18.185   0.136  18.391   0.147  99.999  99.999  nickel1
 2007fs  54382.24  18.912   0.086  18.404   0.099  18.404   0.168  18.818   0.354  99.999  99.999    kait4
 2007fs  54387.16  19.189   0.160  18.451   0.126  18.583   0.205  18.825   0.384  99.999  99.999    kait4
 2007if  54355.46  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.365   0.017    kait4
 2007if  54357.52  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.436   0.016    kait4
 2007if  54358.10  18.153   0.027  17.612   0.013  17.422   0.016  17.568   0.020  99.999  99.999  nickel1
 2007if  54358.44  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.452   0.017    kait4
 2007if  54359.48  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.539   0.015    kait4
 2007if  54360.42  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.574   0.015    kait4
 2007if  54361.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.587   0.014    kait4
 2007if  54362.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.658   0.019    kait4
 2007if  54367.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.842   0.033    kait4
 2007if  54369.33  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.952   0.057    kait4
 2007if  54376.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.228   0.028    kait4
 2007if  54379.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.315   0.035    kait4
 2007if  54380.15  20.125   0.095  18.780   0.029  18.115   0.025  17.913   0.031  99.999  99.999  nickel1
 2007if  54381.42  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.359   0.035    kait4
 2007if  54384.33  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.435   0.029    kait4
 2007if  54387.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.521   0.035    kait4
 2007if  54391.11  20.482   0.089  19.215   0.028  18.467   0.048  18.244   0.058  99.999  99.999  nickel1
 2007if  54391.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.616   0.133    kait4
 2007if  54395.28  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.848   0.083    kait4
 2007if  54402.31  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.844   0.108    kait4
 2007if  54406.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.056   0.084    kait4
 2007if  54410.34  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.304   0.069    kait4
 2007if  54414.06  20.771   0.164  19.756   0.084  19.271   0.089  18.953   0.214  99.999  99.999  nickel1
 2007if  54414.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.406   0.111    kait4
 2007if  54418.37  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.436   0.112    kait4
 2007if  54422.03  20.911   0.527  19.836   0.049  19.443   0.032  19.385   0.068  99.999  99.999  nickel1
 2007if  54422.36  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.486   0.153    kait4
 2007if  54429.93  20.847   0.373  19.965   0.104  19.498   0.074  19.581   0.110  99.999  99.999  nickel1
 2007if  54432.29  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.640   0.380    kait4
 2007if  54439.33  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.086   0.235    kait4
 2007if  54448.24  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.035   0.266    kait4
 2007if  54448.92  21.288   0.339  20.208   0.107  99.999  99.999  19.514   0.484  99.999  99.999  nickel1
 2007if  54465.25  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.282   0.398    kait4
 2007jg  54366.53  17.642   0.090  17.546   0.295  17.470   0.399  99.999  99.999  99.999  99.999    kait4
 2007jg  54368.49  17.722   0.042  17.530   0.035  17.386   0.045  17.890   0.064  99.999  99.999    kait4
 2007jg  54371.46  17.853   0.087  17.513   0.049  17.459   0.066  17.884   0.085  99.999  99.999    kait4
 2007jg  54375.47  18.184   0.065  17.761   0.059  17.815   0.062  18.146   0.123  99.999  99.999    kait4
 2007jg  54377.46  18.373   0.046  17.939   0.034  17.966   0.046  18.404   0.098  99.999  99.999    kait4
 2007jg  54379.21  18.594   0.032  18.068   0.020  18.034   0.022  18.243   0.060  99.999  99.999  nickel1
 2007jg  54379.49  18.640   0.051  18.052   0.045  18.121   0.070  18.570   0.110  99.999  99.999    kait4
 2007jg  54381.46  18.958   0.053  18.123   0.043  18.152   0.081  18.424   0.224  99.999  99.999    kait4
 2007jg  54384.47  19.344   0.064  18.322   0.058  18.184   0.048  18.444   0.064  99.999  99.999    kait4
 2007jg  54387.50  19.447   0.088  18.498   0.070  18.277   0.064  18.372   0.078  99.999  99.999    kait4
 2007jg  54391.22  19.681   0.347  18.818   0.077  18.257   0.033  18.192   0.033  99.999  99.999  nickel1
 2007jg  54391.47  20.038   0.120  18.719   0.247  18.429   0.456  18.190   0.141  99.999  99.999    kait4
 2007jg  54395.37  20.346   0.302  18.898   0.147  18.571   0.108  18.234   0.062  99.999  99.999    kait4
 2007jg  54402.46  20.448   0.469  19.406   0.424  19.086   0.364  18.924   0.362  99.999  99.999    kait4
 2007jg  54406.48  20.468   0.354  19.598   0.262  19.173   0.209  18.679   0.205  99.999  99.999    kait4
 2007jg  54410.47  20.829   0.258  19.801   0.161  19.356   0.157  18.931   0.176  99.999  99.999    kait4
 2007jg  54414.14  20.955   0.200  19.931   0.114  99.999  99.999  19.439   0.143  99.999  99.999  nickel1
 2007kk  54380.53  17.795   0.036  17.684   0.028  17.534   0.033  17.736   0.067  99.999  99.999    kait4
 2007kk  54382.44  17.768   0.047  17.670   0.027  17.440   0.035  17.722   0.060  99.999  99.999    kait4
 2007kk  54384.49  17.775   0.051  17.618   0.028  17.418   0.033  17.795   0.066  99.999  99.999    kait4
 2007kk  54387.53  17.939   0.057  17.648   0.029  17.471   0.044  17.829   0.078  99.999  99.999    kait4
 2007kk  54390.53  18.021   0.066  17.680   0.191  99.999  99.999  17.827   0.191  99.999  99.999    kait4
 2007kk  54392.47  18.208   0.067  17.800   0.034  17.652   0.031  18.060   0.074  99.999  99.999    kait4
